"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DNPH1",5465.2343636926,-4.23064154184942,0.0664655101618859,-63.6516823769969,0,0
"GPFGEMDG_00019",6383.8658475571,-3.75176757789971,0.06585468275766,-56.9703993823175,0,0
"GPFGEMDG_00206",2877.31518077839,-3.39638345423181,0.0766997071553189,-44.2815700372108,0,0
"GPFGEMDG_00466",1474.94972338164,5.29976928845685,0.118226434146996,44.8272784905905,0,0
"GPFGEMDG_00769",295227.430252496,2.01697944934602,0.0455636353977937,44.2673072887351,0,0
"GPFGEMDG_00827",43623.2115049741,2.481960081251,0.0514454582701174,48.2444935803531,0,0
"GPFGEMDG_00830",29360.0505737568,-4.15929787173751,0.0681621275013618,-61.0206580135636,0,0
"GPFGEMDG_00831",39556.0528940968,-4.36384932076421,0.060311225683702,-72.3555071430667,0,0
"GPFGEMDG_00987",4177.35159720916,-2.62921990191841,0.0695082344375536,-37.8260205167563,0,0
"GPFGEMDG_01003",1374.50044759993,6.00192349794211,0.152560239871353,39.3413349572815,0,0
"GPFGEMDG_01005",3641.22744435808,5.71558925886352,0.0919758628807387,62.142273851507,0,0
"GPFGEMDG_01007",6438.34849658706,5.20954471557768,0.0704322295159436,73.9653529553314,0,0
"GPFGEMDG_01008",1104.06537677104,4.94715039797822,0.129627096168658,38.1644775220565,0,0
"GPFGEMDG_01010",2074.04893674285,5.03247399091292,0.119152802056193,42.2354649162141,0,0
"GPFGEMDG_01016",1788.91345838387,4.54877671128676,0.11159898846574,40.7600173964228,0,0
"GPFGEMDG_01017",2612.47013467983,4.60193153550431,0.0842665557093342,54.611601207222,0,0
"GPFGEMDG_01018",5210.386534646,4.59568276419823,0.0755419324470784,60.83618217495,0,0
"GPFGEMDG_01054",1751.65257392639,4.70559827779981,0.0993091002920563,47.3833542340148,0,0
"GPFGEMDG_01134",40918.2129165759,4.36414398633711,0.0772921038213841,56.462999071966,0,0
"GPFGEMDG_01156",2892.22981716309,-2.71483487385197,0.0705444976314472,-38.4840060529648,0,0
"GPFGEMDG_01158",12409.9339707889,-2.39625393006037,0.0552980993930401,-43.3333867956042,0,0
"GPFGEMDG_01160",16203.8982066918,-2.49520810791613,0.0490173152872572,-50.9046261161674,0,0
"GPFGEMDG_01161",7768.17065892541,-3.08056253576251,0.0630204423079988,-48.881956757887,0,0
"GPFGEMDG_01162",15343.2938897873,-2.32721919200306,0.0528055988403764,-44.0714477841242,0,0
"GPFGEMDG_01321",3154.26951109525,5.18404653229797,0.0858119154536498,60.4117330896555,0,0
"GPFGEMDG_01451",1894.11065158876,3.51335510918671,0.0841330050367254,41.7595342951684,0,0
"GPFGEMDG_01455",26058.3706534807,7.81618272270972,0.102069821054569,76.5768240010042,0,0
"GPFGEMDG_01496",3668.24860881932,3.97683665063261,0.0934265951142479,42.566430316437,0,0
"GPFGEMDG_01555",8812.52967758485,3.09277730037806,0.0542309591232673,57.0297363420802,0,0
"GPFGEMDG_01596",4102.73632800443,-2.65684840267248,0.0688551698706847,-38.5860409270974,0,0
"GPFGEMDG_01606",5403.77794127221,-3.20302564428923,0.0620556194039634,-51.6154004271312,0,0
"GPFGEMDG_01652",12678.8928636764,3.16968781981891,0.0716133970547194,44.2611012768597,0,0
"GPFGEMDG_01654",13609.9469656367,3.19278912740809,0.0791518649159217,40.337509808513,0,0
"GPFGEMDG_01659",3071.07194946832,3.79012759843313,0.0769373098606164,49.2625438204107,0,0
"GPFGEMDG_01660",28147.0250633075,4.30922536389486,0.076781177559067,56.1234602136678,0,0
"GPFGEMDG_01662",5018.21100414292,3.52962260797157,0.092629061948791,38.1049158192154,0,0
"GPFGEMDG_01669",2331.35735692133,5.0202084577841,0.102915481186751,48.7799153236664,0,0
"GPFGEMDG_01709",9231.49459856759,4.68503753369916,0.0719765474406562,65.0911678913457,0,0
"GPFGEMDG_01784",1391.29683116568,5.25820953508348,0.121856633972391,43.1507859988551,0,0
"GPFGEMDG_01785",5263.01742426684,3.00164864531575,0.0664465639503363,45.1738730622587,0,0
"GPFGEMDG_01930",5864.88279101137,2.34086425616139,0.0556082289660472,42.0956448296645,0,0
"GPFGEMDG_01977",3195.79558251197,4.44844446313363,0.110200580984392,40.3667968298976,0,0
"GPFGEMDG_02370",11792.2954356748,2.47006950289787,0.0593079607345197,41.6481948174655,0,0
"GPFGEMDG_02426",29128.6612263288,6.48429035694089,0.0874422503803702,74.1551175631287,0,0
"GPFGEMDG_02562",1109.36226241321,3.83704714164831,0.0998753025501325,38.4183781543219,0,0
"GPFGEMDG_02567",2257.50207326142,4.3769206365031,0.0880420410032807,49.7139842128377,0,0
"GPFGEMDG_02690",1727.194335187,4.69990083992837,0.105295465277807,44.6353584888805,0,0
"GPFGEMDG_02691",4813.97506640962,5.0328933781409,0.0898696914310742,56.0021214938842,0,0
"GPFGEMDG_02770",164458.051512098,2.70640010509447,0.0656656431910002,41.2148571700185,0,0
"GPFGEMDG_02771",37817.6231250333,2.73830541534229,0.0526747212107633,51.9851904746818,0,0
"accA",25137.5920515872,-4.83482718741687,0.079624660187807,-60.7202238102264,0,0
"accB",22313.297595151,-5.20947923278965,0.0840298813477026,-61.9955562145046,0,0
"accD",25801.589220463,-4.84078589723473,0.0749447335831737,-64.591408439159,0,0
"ackA",8786.61361948024,-2.41892101181918,0.0572729516132804,-42.2349633410247,0,0
"acpA_1",26272.1413207195,-5.67674452793293,0.088788429517421,-63.9356339422482,0,0
"adeC",4591.87971789376,2.9656740115778,0.073043532853653,40.6014590986405,0,0
"adhE",97865.0461952042,5.10919351685679,0.0644419315468324,79.2836805821647,0,0
"adk",49558.6311618958,-2.92340953050033,0.0519192178596552,-56.3068869489273,0,0
"ahpC",5522.19910101515,-4.87735602647014,0.0833867498008922,-58.4907798674983,0,0
"ahpF",17590.1547697671,-4.58126165524971,0.0673392093694787,-68.032602374541,0,0
"alaS",25543.7921595613,-2.08707014512833,0.0480106631432896,-43.4709709986591,0,0
