"","baseMean"
"GPFGEMDG_00363",49.6327596248342
"crr_1",40.0847136004495
"ldhB",37.3325289231621
"lrp",44.1392447171002
"purS",29.064008367275
"cinA",41.2344073368651
"puuD",24.2505340186486
"pstB3_1",23.2935126705658
"GPFGEMDG_01798",43.232617150646
"niaX",21.4556292135381
"GPFGEMDG_02562",20.9795875708407
"ldh",20.2087783488739
"tadA_2",20.0540175309507
"recR",27.8120959438476
"abfA_1",36.4628148780213
"GPFGEMDG_00237",18.8199241444306
"oppB",18.6656624711156
"hpaIIM",21.2896089214202
"GPFGEMDG_01802",18.268735627382
"dus_2",18.5920760809639
"GPFGEMDG_02087",16.8906017212959
"GPFGEMDG_01518",16.6520333594721
"sorA_2",16.4340989720717
"yvcJ",16.3517373713906
"GPFGEMDG_02620",21.3404699364108
"rimI_1",49.3244048089879
"GPFGEMDG_00680",14.6080879751749
"pspB_1",40.6681140021253
"pdp",35.0871091046808
"pheT_1",13.1122422317754
"ywnA",12.1734066459791
"dcuR",12.3255742290538
"GPFGEMDG_02544",39.8938208330981
"purQ",480.789941294898
"pyrF",251.816874110205
"GPFGEMDG_00044",200.872660838332
"mrp",164.749229334862
"msrA_2",134.217500412593
"pyrC",90.9198734891655
"gtaB_2",69.4254283482487
"mngR",80.2072210658974
"GPFGEMDG_00417",67.5404343892877
"yteT",52.9159332043733
"GPFGEMDG_01077",52.8270020433198
"metP_2",67.0840178887122
"GPFGEMDG_01671",63.4857819682882
"GPFGEMDG_01636",46.9534822100243
"GPFGEMDG_00606",47.2843273190493
"azoR",56.3844432544501
"fpgS",44.2697907551853
"ettA_1",43.7745904037623
"GPFGEMDG_00681",46.4860143120802
"purA",1920.91935517783
"GPFGEMDG_02359",37.3822751893084
"thiD",37.2308086106985
"manX_4",30.4344756696487
"GPFGEMDG_02298",28.4574321252163
"axe2",39.7574133762917
"GPFGEMDG_02579",27.609384818952
"treA",51.3366022031686
"iscS_2",26.0301593494965
"GPFGEMDG_02840",22.5489343753659
"nox_1",21.8832481807694
"rlmL",21.2364419899908
"bcr",29.0710975829052
"ctc",19.3964733658768
"purR_2",26.5095274135462
"dtpT_2",37.7784525457432
"ybhL",15.5695657469056
"lacC_2",33.2670691796498
"GPFGEMDG_01720",13.4186714881652
"cfiB_2",31.8056010725136
"GPFGEMDG_00194",33.6716833147905
"GPFGEMDG_02383",11.2611021519954
"pbuO",10.9935754217874
"pdhB",23.7484815146468
"GPFGEMDG_00406",10.0430604829327
"gatB_2",9.87274709216034
"glyA",24.1693404057014
"pyrDA",81.739048440767
"GPFGEMDG_01267",8.97788740140955
"GPFGEMDG_00982",30.4021428475211
"GPFGEMDG_02302",8.7301922467135
"agrB",13.318698956161
"rppH",35.0354791133321
"gla",8.52138465218534
"GPFGEMDG_02659",8.40685179313152
"GPFGEMDG_02826",40.8740941495567
"aroK",17.1495322610633
"ahpC",12.6976995692287
"purC",980.031902084631
"GPFGEMDG_01750",6.08670332298953
"mazE",6.08670332298953
"GPFGEMDG_01051",17.6379096984657
"phoR_2",5.62782272464025
"purD",953.036445822785
"purH",764.238687740513
"manZ_5",2918.27342343481
"efp",4.5745301359584
"dgaR_5",11491.0941573732
"fabF",33.82290285428
"cshB",5.41762262803298
"yxdL_1",3.49985441071898
"GPFGEMDG_00438",51.8235686469078
"guaB",1715.75683233239
"sorA_3",6663.9187049338
"carA",99.1533048055388
"polC_1",3.1729465910495
"lexA",4.19401259188317
"metG",3.04335166149476
"GPFGEMDG_01992",21.1047450715413
"addB",2.90068672213628
"GPFGEMDG_01601",2.89118407842003
"ysdC",15.1061950718329
"yclQ",62.2792799560845
"ptsI",301.535393792271
"GPFGEMDG_01598",12.6627784882038
"oatA",3.63560418758062
"ltaS1_2",13.864252864906
"ywlC",2.28251374612107
"carB",183.63289198155
"pyrK_1",815.449265736887
"purL",668.530375756565
"GPFGEMDG_02619",1.61670226790991
"zosA",1.52167583074738
"glnQ_1",72.4957784203785
"GPFGEMDG_01580",12.2978743178043
"GPFGEMDG_01301",76.3752989063928
"icaR",20.7616097331466
"rpoN1",407.205555989202
"proX_2",3.7898684358487
"yecD_1",479.546257735508
"GPFGEMDG_02850",113.209264884369
"GPFGEMDG_01942",14.2001687670564
"ugl_2",43.361062005107
"GPFGEMDG_01669",145.680541129009
"yxeP",78.2211454880555
"murA1_1",12.5618320904726
"mtlF_1",13.12147603565
"GPFGEMDG_00666",44.3628926501944
"GPFGEMDG_00771",32.1834218971926
"yjhB_3",58.4893566067808
"misCA",407.139043924877
"GPFGEMDG_01223",256.320712817058
"lacL",79.7565910341287
"gdpP",123.208038376102
"ybiT_1",12.2131496436746
"npr_2",64.9238575143057
"arlR_1",110.397726654298
"prs2",56.9279337380267
"gpmA_1",83.4516780332567
"rlmA",189.690804001214
"lacD2",80.7723980359401
"GPFGEMDG_01915",69.7465760248333
"mro_2",54.2215314686937
"ctpE_1",2.73128444400114
"ackA",24.1024631006953
"GPFGEMDG_00736",161.299311705063
"dinB_2",336.382786661813
"araC_3",53.0042153211635
"GPFGEMDG_01784",212.285000827443
"GPFGEMDG_00830",166.906542333558
"pezT",55.632108977918
"GPFGEMDG_00772",345.341134362322
"GPFGEMDG_02839",142.282781239305
"GPFGEMDG_00732",104.745412044307
"GPFGEMDG_01213",1.93335164942389
"hssR",234.051530207397
"GPFGEMDG_01510",89.5035821422815
"brnQ_1",972.413740061447
"ulaD",20.8786102220109
"GPFGEMDG_02047",74.3480655370432
"ydfK",125.112273381872
"feuC",278.111345979512
"mfd",225.522984313048
"GPFGEMDG_02828",92.1800011230909
"spxA_5",68.5411258897203
"dcuS_2",47.8237859310218
"sfsA",95.6465047198586
"mccF",169.779871195971
"bceB_1",129.000515598548
"ywpJ_2",157.251838823207
"mazF",125.431192529329
"rpsA",240.609714321958
"murF_1",18.9201935187222
"GPFGEMDG_01423",44.2676309191038
"GPFGEMDG_01339",96.4782701870965
"GPFGEMDG_02814",111.832089339514
"GPFGEMDG_01379",110.920610684955
"GPFGEMDG_00709",64.4854584405198
"ywqE",3.20353057723591
"yhdG",626.777332074203
"GPFGEMDG_02800",95.9757818081397
"bioY2",1376.52951616428
"ykoD",34.6271338116687
"czrA",493.341477214411
"rluD_1",84.0852623796372
"GPFGEMDG_01872",58.8569142948432
"feuB_1",57.8562889719338
"GPFGEMDG_01629",66.0815774793431
"GPFGEMDG_01989",161.906466985092
"pehX",27.4034938475928
"GPFGEMDG_01606",269.795214666993
"GPFGEMDG_00646",325.625866759839
"gpmA_2",161.46446461843
"sugE",161.008545704445
"GPFGEMDG_02856",46.5822306531397
"GPFGEMDG_00087",30.2139065512443
"glpO",335.055148984498
"GPFGEMDG_00751",69.490561339012
"aroF",122.392504571848
"msrR_2",104.158240376436
"betI",275.076049556262
"GPFGEMDG_02478",1051.72685906997
"GPFGEMDG_02557",437.846365378048
"gap_1",444.174505544936
"pnp",8.58688964171866
"GPFGEMDG_02460",66.5092385312442
"gbuB",600.894074073052
"nrdG",200.251015434421
"trmL",465.491251338133
"GPFGEMDG_02858",358.484053450895
"GPFGEMDG_00278",143.628731558504
"oppD_2",301.186958264638
"mprA",12.0253588448128
"GPFGEMDG_02080",55.7415201663695
"rsmI",393.197403889814
"pgl_2",39.462749620055
"menH_1",8.91646085482761
"GPFGEMDG_00190",86.6171740590497
"queT_1",109.557436868321
"ugl_1",464.370093822621
"GPFGEMDG_00286",239.365158656385
"fcbA1",1297.8588844597
"padC",704.720356571321
"epsN",66.4763385069604
"GPFGEMDG_00533",964.088982398799
"GPFGEMDG_01308",26.8482948356061
"GPFGEMDG_02530",26.1326736172999
"gshAB",252.199125790681
"GPFGEMDG_02771",465.27594644614
"GPFGEMDG_00910",148.326511807575
"rimI_2",74.2327372637014
"rodA",3.72795293550306
"GPFGEMDG_02870",285.067758291246
"GPFGEMDG_01555",210.252466847076
"mgtE",828.072011824999
"GPFGEMDG_00452",77.7241146835541
"gbpA",21.2938085698977
"GPFGEMDG_02352",136.871691977194
"cycA",226.721581697357
"znuA_1",85.5796746335203
"GPFGEMDG_02338",79.5024943226782
"artM_2",439.528489710662
"yifK",726.654034995721
"GPFGEMDG_02570",45.4139261288623
"gpsA_2",377.059796939825
"lgt",21.6486867481629
"GPFGEMDG_01346",8.92840709300012
"rihB",7.82324045233075
"glmU",5.6592724497578
"GPFGEMDG_01716",3.60415037423994
