"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"norG"	940.287190907955	0.493095536188574	0.084669489912831	5.82376882979013	5.75351464081719e-09	8.56559413290771e-09
"ywpJ_2"	5194.30834858275	0.488914534414597	0.0526318347934206	9.28933099774276	1.55261120004348e-20	2.8942801195425e-20
"smpB"	2234.72705810398	0.487969997506888	0.0770280600843957	6.33496412829615	2.3739649924274e-10	3.66688507451007e-10
"mta"	845.318178365079	0.485074292117043	0.0910900427137903	5.3252175283436	1.00832297482408e-07	1.44602249591061e-07
"tqsA_3"	6214.3420085947	0.483373350945916	0.0597677229436397	8.08753164984606	6.08860125081924e-16	1.04778979717488e-15
"rppH"	614.976712419484	0.482628191665205	0.0982302118482102	4.91323578138042	8.95854340433123e-07	1.25287985351666e-06
"hrtA_2"	753.280416277103	0.480523208298956	0.0915122497300509	5.25091678673004	1.51344043767546e-07	2.15821141065518e-07
"glnA"	76637.9019974246	0.478383245702211	0.0666985792194685	7.172315382133	7.37398217188391e-13	1.20370577146615e-12
"penA"	14532.0355304095	0.477193427927066	0.0467504230880815	10.2072536761431	1.83999070493686e-24	3.67274684615837e-24
"prs2"	14159.2972036312	0.473568463044143	0.0637780350214301	7.42525954092219	1.12558980151509e-13	1.86740007375543e-13
"pnp"	41888.7459493566	0.473219880418197	0.0471148310444519	10.0439685323656	9.76640476982472e-24	1.92921328981103e-23
"spsB"	1885.60998566576	0.470369747628705	0.0637558535683848	7.37767155958762	1.61081737981483e-13	2.66370778442777e-13
"msrC"	1906.6095939909	0.467430044231831	0.0657188114668633	7.11257604631999	1.13896740364099e-12	1.84733477715147e-12
"groL"	49376.8321772927	0.466268593537984	0.051518310364142	9.0505412588709	1.42261404503767e-19	2.5978911158182e-19
"ntpK"	1967.1415252249	0.466156293801343	0.0735263553221226	6.33998913395189	2.29781367833365e-10	3.55286317979914e-10
"sipV"	6061.35235215465	0.460708932066852	0.0605598163253685	7.60750213626162	2.79443903624574e-14	4.69231604432444e-14
"yacL"	7204.05432301135	0.459074171375917	0.0506796791653506	9.05834801909684	1.32441099770936e-19	2.42146212426333e-19
"ecfA1"	5232.85710135849	0.455441598034034	0.0602668083309494	7.55708839819458	4.12191851095973e-14	6.90614069548039e-14
