"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"dgaR_5"	11491.0941573732	-5.81523709630856	0.168692353722019	2.13856700038516e-261	2.87423404851766e-258
"manZ_5"	2918.27342343481	-6.13234579937645	0.32435154089866	1.0370668286646e-80	6.96908908862614e-78
"guaB"	1715.75683233239	-5.89279314522777	0.738769379953586	1.17789496921353e-16	3.95772709655745e-14
"pyrF"	251.816874110205	-13.443169142699	3.48804674921883	2.0847766512817e-16	5.6038796386452e-14
"purA"	1920.91935517783	-0.351917166514539	0.70334717254679	1.23880541887881e-10	2.37850640424732e-08
"pyrK_1"	815.449265736887	-3.79874028379605	0.681458681511872	1.59681258928017e-09	2.68264514999069e-07
"pyrC"	90.9198734891655	-0.244416317183335	0.543213630290446	1.92093526291255e-07	2.58173699335447e-05
"clsA_2"	3021.13701934884	1.85594773710343	0.481380492233706	5.92184862767051e-06	0.000536169592117199
"purD"	953.036445822785	-3.37880687872434	0.887705920135166	7.49709329590861e-06	0.000629755836856323
"brnQ_1"	972.413740061447	-1.85947096281394	0.530246712971977	3.05048767753404e-05	0.00241167966976809
"GPFGEMDG_01365"	2140.79040678758	0.878227250329613	0.308972554098381	0.000653043280034024	0.0313460774416331
"GPFGEMDG_02859"	1220.85655267019	-1.24963322006043	0.461573805338828	0.000608039114223429	0.0313460774416331
"carB"	183.63289198155	-0.232656579400118	0.528761972944401	0.000564213609739265	0.0313460774416331
"gtaB_2"	69.4254283482487	-0.0859371305695353	0.440190756277668	0.000556003618836619	0.0313460774416331
"steT_1"	5410.61981567677	0.670770700977141	0.220910426276309	0.000614964255153755	0.0313460774416331
"GPFGEMDG_00095"	6308.53819723275	0.638344831942441	0.215697664451025	0.000863590012573891	0.0400229302379072
