"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"dacA"	13609.4435518786	2.44267761259247	0.24318672798644	5.08912313299437e-25	2.27992716358148e-22
"ldtA"	26048.5650771486	2.11475017169882	0.288363840970857	1.26025431775782e-14	2.82296967177752e-12
"GPFGEMDG_02313"	96.1727913621403	10.241487937086	3.30760861133935	1.00074171592988e-07	1.49444096245529e-05
"cysL"	82.4914052168025	9.86767030092266	3.39129901527235	9.09176946889813e-07	0.000111084892419992
"GPFGEMDG_01910"	74.1604722729669	9.64137327112076	3.41255115815088	2.02406301535542e-06	0.000226695057719807
"GPFGEMDG_02487"	78.4735364910548	9.67805680278588	3.47998206880218	3.25119966778154e-06	0.000336124027192184
"GPFGEMDG_00419"	62.9079701954585	9.29085912895176	3.44717778328728	5.98403562630802e-06	0.000536169592117199
"GPFGEMDG_02727"	103.868665145851	9.55897614449258	4.14757908056614	7.01239492628107e-05	0.00496034672680093
"cbh_3"	62.0799366212226	6.82213697990962	2.42701032102029	6.94975977499692e-05	0.00496034672680093
"mutS2_2"	66.4750629100884	8.74744949044074	4.1201460109269	0.000151974200126673	0.0102126662485124
"GPFGEMDG_00391"	76.2324168149129	8.59901756999793	4.66707962529459	0.000329312378906463	0.0210759922500136
"GPFGEMDG_02789"	418.664534105271	2.05189785304474	0.848777813617687	0.000493395608660778	0.0301419862745494
"oppF_2"	63.5703996097813	7.97027993821261	5.20196869990943	0.00063408081032802	0.0313460774416331
"GPFGEMDG_00306"	55.0305635329445	7.12525806062197	7.13636652674858	0.00113846575163544	0.0493579990386462
"brnQ_2"	96.6504529521469	3.88219537575235	2.96780532389199	0.00110664333795138	0.0493579990386462
