All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     pilon  
# misassemblies              7      
  # contig misassemblies     7      
    # c. relocations         5      
    # c. translocations      2      
    # c. inversions          0      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       5      
Misassembled contigs length  3052405
# local misassemblies        0      
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     0      
# mismatches                 441    
# indels                     201    
    # indels (<= 5 bp)       189    
    # indels (> 5 bp)        12     
Indels length                385    
