All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs_spades
# misassemblies              3             
  # contig misassemblies     3             
    # c. relocations         0             
    # c. translocations      2             
    # c. inversions          1             
  # scaffold misassemblies   0             
    # s. relocations         0             
    # s. translocations      0             
    # s. inversions          0             
# misassembled contigs       2             
Misassembled contigs length  2816937       
# local misassemblies        0             
# scaffold gap ext. mis.     0             
# scaffold gap loc. mis.     0             
# unaligned mis. contigs     1             
# mismatches                 939           
# indels                     117           
    # indels (<= 5 bp)       108           
    # indels (> 5 bp)        9             
Indels length                256           
