"","baseMean"
"GPFGEMDG_01651",45.1958722278749
"GPFGEMDG_00391",76.2324168149129
"GPFGEMDG_02295",55.9935274035692
"graR",44.5848850483349
"cysL",82.4914052168025
"cspLA_1",41.1356220020405
"sppA",49.3293010312126
"GPFGEMDG_00306",55.0305635329445
"GPFGEMDG_01931",66.8389688561612
"oppF_2",63.5703996097813
"cvfB",45.1356690528892
"GPFGEMDG_01443",31.6093830305383
"celA_3",31.5218231342939
"mutS2_2",66.4750629100884
"GPFGEMDG_02313",96.1727913621403
"GPFGEMDG_00076",45.0618876841239
"GPFGEMDG_02150",25.7749555907411
"GPFGEMDG_01910",74.1604722729669
"sorB_1",35.5669978887505
"GPFGEMDG_02111",55.8621010555974
"gmuE_3",20.6264114811287
"yclM",43.4677670817785
"murI",18.6813861937477
"GPFGEMDG_00419",62.9079701954585
"licA_2",53.7271382287853
"sigH",17.2625467359947
"glnH",16.5531270071182
"rlmCD_1",16.3592420947523
"GPFGEMDG_02727",103.868665145851
"recQ_2",27.2678835042422
"GPFGEMDG_01603",27.1618767438992
"ntpJ_1",19.3245338484315
"GPFGEMDG_02487",78.4735364910548
"pstA",14.9728656460445
"GPFGEMDG_00706",23.7635637310924
"GPFGEMDG_01229",18.0940946685964
"GPFGEMDG_00934",14.5569527114321
"ulaA_1",14.5431044419681
"GPFGEMDG_02319",25.2220573954962
"nylA",32.5207726453373
"GPFGEMDG_00713",21.3400988623718
"rhaM",16.9487362929901
"GPFGEMDG_02774",12.6513184982975
"GPFGEMDG_01292",18.6175227107389
"GPFGEMDG_02000",12.1783720123798
"dinG_2",33.4016736173214
"GPFGEMDG_00983",11.5871889049827
"GPFGEMDG_02227",11.4981389155848
"GPFGEMDG_00104",18.9183853342073
"GPFGEMDG_01868",24.4011541327673
"GPFGEMDG_00647",19.4006101419203
"galT",10.7595325546268
"GPFGEMDG_01436",9.9819104306963
"GPFGEMDG_01333",36.478079899165
"ohrR",20.7509814931017
"GPFGEMDG_02488",9.2887222063424
"GPFGEMDG_01506",9.10421985391501
"fabG_2",10.7855148282702
"GPFGEMDG_00273",8.4568963371177
"GPFGEMDG_02356",17.757675703563
"cbh_3",62.0799366212226
"glpQ_1",12.3966461461869
"GPFGEMDG_02462",7.76370811276379
"GPFGEMDG_02034",7.62507046789301
"GPFGEMDG_02357",7.34779517815145
"GPFGEMDG_02063",7.20915753328067
"GPFGEMDG_01129",7.09419728876494
"potD",13.9954668891746
"GPFGEMDG_02703",6.9318822435391
"ftsK_1",6.9318822435391
"ydcV",6.85772404580611
"hflX",6.73948742432669
"yjbM",6.67873092510514
"GPFGEMDG_01828",6.62125080284728
"trpS2",6.62125080284728
"GPFGEMDG_01036",31.0146796155682
"lytR_2",6.26654093840903
"typA",6.04674577092533
"ogt",6.0300676954502
"GPFGEMDG_00332",5.96141872944363
"rsmH_1",5.96141872944363
"Int-Tn_1",5.82278108457284
"hslO",5.79359445249137
"GPFGEMDG_02784",13.3594084603157
"GPFGEMDG_02721",20.0864321316297
"arcA",25.2691433980505
"GPFGEMDG_00290",6.06852606748294
"GPFGEMDG_00377",5.43888458805312
"infB",6.10887650595908
"GPFGEMDG_01993",4.85231757047737
"GPFGEMDG_02385",4.84770148065604
"folA_3",23.8533183577326
"lipL",4.74986588256799
"GPFGEMDG_01212",4.72946485917663
"dgs",4.71367992560659
"epsL",24.6645779303655
"mvaA",4.13872832273209
"GPFGEMDG_01521",4.02004513030013
"fabD",4.02004513030013
"metB",3.90180850882072
"GPFGEMDG_00538",3.7835718873413
"artM_3",28.0931629602188
"GPFGEMDG_02007",17.3577115158078
"miaA",3.31062540142364
"GPFGEMDG_01018",3.28650143011604
"GPFGEMDG_01424",3.19238877994422
"GPFGEMDG_02768",151.783193810905
"GPFGEMDG_02633",2.95591553698539
"GPFGEMDG_00112",2.83767891550598
"pyrK_2",2.71944229402656
"ypdF",2.63411525254486
"glpQ_2",2.60120567254714
"parC",2.60120567254714
"serS",2.60120567254714
"murB",7.09812132922768
"GPFGEMDG_02456",6.95776155813374
"rnr",32.0497837194436
"opuCA_2",2.2464958081089
"GPFGEMDG_02289",23.8533510565133
"glmS",2.21820231793251
"sttH",2.12825918662948
"comC",2.24835147246796
"GPFGEMDG_02830",12.7921295339076
"GPFGEMDG_02833",1.89178594367065
"GPFGEMDG_00467",21.4805715109096
"mepM_1",74.7992303322572
"GPFGEMDG_00729",2.15710296565404
"brnQ_2",96.6504529521469
"GPFGEMDG_00534",42.2097639695472
"xpkA_3",6.8574044535066
"GPFGEMDG_01461",281.387352714258
"banIM",132.511018687751
"plsX",3.00120480665603
"GPFGEMDG_02832",72.0039683018045
"ileS",16.0386337988437
"ppaC",4.67169176178405
"GPFGEMDG_01233",56.0739896478794
"pgpH",83.1804759899556
"pyk",24.9665480203364
"guaC",300.89286630885
"tetR",1.68668432036959
"manZ_4",10.6307426491333
"lplJ",6.68505562033173
"repN",121.184483014915
"GPFGEMDG_01452",109.993092513256
"mhqA",3.54015755140527
"chbC",150.530617258274
"murA1_2",293.838034617747
"GPFGEMDG_01052",2.11081272995018
"GPFGEMDG_02140",90.6444275845702
"GPFGEMDG_01921",7.69839428251792
"pinR",80.3506518218425
"GPFGEMDG_02761",13.4545262492421
"oppD_1",2.24734805318438
"GPFGEMDG_02789",418.664534105271
"bglF_3",230.542506372324
"GPFGEMDG_01724",152.945460014511
"rpoC",24.8937384010842
"GPFGEMDG_01139",2275.56701678889
"GPFGEMDG_02640",256.721728165048
"GPFGEMDG_00734",30.6698743044088
"clpC",40.4686067502434
"exoA",1.669026804799
"opuBB",56.207213674271
"mprF_2",424.440151553742
