Assembly	tig00000001_pilon
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	2773702
Total length (>= 1000 bp)	2773702
Total length (>= 5000 bp)	2773702
Total length (>= 10000 bp)	2773702
Total length (>= 25000 bp)	2773702
Total length (>= 50000 bp)	2773702
# contigs	1
Largest contig	2773702
Total length	2773702
Reference length	2765031
GC (%)	38.11
Reference GC (%)	38.11
N50	2773702
NG50	2773702
N75	2773702
NG75	2773702
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	2
# misassembled contigs	1
Misassembled contigs length	2773702
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.765
Duplication ratio	1.005
# N's per 100 kbp	0.00
# mismatches per 100 kbp	16.39
# indels per 100 kbp	0.98
Largest alignment	1084784
Total aligned length	2773702
NA50	852846
NGA50	852846
NA75	836072
NGA75	836072
LA50	2
LGA50	2
LA75	3
LGA75	3
